unique_values,counts
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease']",2
['Drug - Protein - BiologicalProcess - Pathway - Disease'],2
['Drug - Protein - Cell - BiologicalProcess - Disease'],2
"['Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - MolecularActivity - OrganismTaxon - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - Disease']",2
['Drug - Protein - BiologicalProcess - ChemicalSubstance - OrganismTaxon - Disease'],2
"['Drug - GrossAnatomicalStructure - Disease', 'Drug - BiologicalProcess - Disease']",2
['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease'],2
['Drug - GeneFamily - ChemicalSubstance - PhenotypicFeature - Disease'],2
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - ChemicalSubstance - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease']",2
"['Drug - Protein - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
['Drug - Protein - MolecularActivity - Pathway - BiologicalProcess - Disease'],2
['Drug - Protein - PhenotypicFeature - BiologicalProcess - OrganismTaxon - Disease'],2
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
['Drug - Protein - BiologicalProcess - Cell - PhenotypicFeature - Disease'],2
['Drug - GeneFamily - PhenotypicFeature - OrganismTaxon - Disease'],2
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - PhenotypicFeature - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",2
['Drug - CellularComponent - BiologicalProcess - PhenotypicFeature - OrganismTaxon - Disease'],2
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - PhenotypicFeature - Disease']",2
"['Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease']",2
"['Drug - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
['Drug - MolecularActivity - ChemicalSubstance - Disease'],2
"['Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
['Drug - Protein - GrossAnatomicalStructure - Disease'],2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease']",2
"['Drug - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - ChemicalSubstance - Cell - Disease', 'Drug - Protein - Cell - Disease']",2
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Cell - Disease']",2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease']",2
['Drug - Protein - MolecularActivity - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Pathway - Disease']",2
"['Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - GeneFamily - Pathway - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease']",2
['Drug - Protein - CellularComponent - MolecularActivity - BiologicalProcess - Disease'],2
['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease'],2
['Drug - ChemicalSubstance - Cell - BiologicalProcess - OrganismTaxon - Disease'],2
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",2
"['Drug - Protein - BiologicalProcess - Cell - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",2
['Drug - Protein - MolecularActivity - Cell - BiologicalProcess - Disease'],2
['Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease'],2
"['Drug - Protein - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - Protein - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease']",2
['Drug - Protein - ChemicalSubstance - GeneFamily - PhenotypicFeature - Disease'],2
['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - GeneFamily - PhenotypicFeature - Disease'],2
['Drug - GeneFamily - Protein - Pathway - BiologicalProcess - Disease'],2
['Drug - Protein - MolecularActivity - ChemicalSubstance - BiologicalProcess - Disease'],2
"['Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - Disease']",2
"['Drug - ChemicalSubstance - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - ChemicalSubstance - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
['Drug - Protein - BiologicalProcess - ChemicalSubstance - GeneFamily - PhenotypicFeature - Disease'],2
['Drug - Cell - BiologicalProcess - Disease'],2
"['Drug - Protein - GeneFamily - PhenotypicFeature - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - GeneFamily - PhenotypicFeature - Disease', 'Drug - GeneFamily - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",2
['Drug - MolecularActivity - ChemicalSubstance - BiologicalProcess - Disease'],1
"['Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
['Drug - CellularComponent - BiologicalProcess - MolecularActivity - OrganismTaxon - Disease'],1
"['Drug - GeneFamily - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Cell - PhenotypicFeature - Disease']",1
['Drug - Protein - Pathway - ChemicalSubstance - PhenotypicFeature - GrossAnatomicalStructure - Disease'],1
['Drug - MolecularActivity - ChemicalSubstance - PhenotypicFeature - Disease'],1
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease']",1
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - Protein - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease'],1
"['Drug - Protein - MolecularActivity - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - MolecularActivity - BiologicalProcess - Disease']",1
['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease'],1
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - GeneFamily - Protein - ChemicalSubstance - Disease'],1
"['Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - Cell - Disease']",1
"['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - OrganismTaxon - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - CellularComponent - BiologicalProcess - Disease', 'Drug - CellularComponent - Disease']",1
"['Drug - Protein - ChemicalSubstance - Disease', 'Drug - OrganismTaxon - Disease', 'Drug - MolecularActivity - OrganismTaxon - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease']",1
['Drug - ChemicalSubstance - OrganismTaxon - BiologicalProcess - PhenotypicFeature - Disease'],1
['Drug - ChemicalSubstance - Protein - OrganismTaxon - Disease'],1
"['Drug - Protein - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - MolecularActivity - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - Pathway - PhenotypicFeature - Disease']",1
['Drug - BiologicalProcess - ChemicalSubstance - GrossAnatomicalStructure - Disease'],1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - Disease']",1
"['Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease']",1
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - MolecularActivity - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - Disease', 'Drug - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - BiologicalProcess - OrganismTaxon - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - GrossAnatomicalStructure - Disease', 'Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - Protein - CellularComponent - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease']",1
"['Drug - ChemicalSubstance - Protein - Pathway - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - CellularComponent - BiologicalProcess - Cell - Disease'],1
"['Drug - Protein - MolecularActivity - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - CellularComponent - MolecularActivity - ChemicalSubstance - Disease']",1
"['Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease', 'Drug - Protein - MolecularActivity - BiologicalProcess - Disease']",1
['Drug - Protein - ChemicalSubstance - MolecularActivity - Disease'],1
"['Drug - Protein - Pathway - ChemicalSubstance - Disease', 'Drug - Protein - GrossAnatomicalStructure - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
['Drug - Protein - GrossAnatomicalStructure - GeneFamily - Disease'],1
"['Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - ChemicalSubstance - Disease']",1
"['Drug - Pathway - BiologicalProcess - Cell - Disease', 'Drug - Pathway - BiologicalProcess - Disease', 'Drug - Cell - Disease', 'Drug - Protein - BiologicalProcess - Cell - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",1
['Drug - Protein - ChemicalSubstance - GeneFamily - Disease'],1
['Drug - Protein - ChemicalSubstance - CellularComponent - Disease'],1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease']",1
"['Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - Pathway - GrossAnatomicalStructure - BiologicalProcess - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - GeneFamily - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - CellularComponent - Disease']",1
['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease'],1
['Drug - ChemicalSubstance - GeneFamily - MolecularActivity - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],1
"['Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",1
['Drug - Protein - PhenotypicFeature - BiologicalProcess - Disease'],1
['Drug - Protein - Pathway - BiologicalProcess - GrossAnatomicalStructure - Disease'],1
['Drug - ChemicalSubstance - Pathway - BiologicalProcess - Disease'],1
"['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease']",1
['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Disease'],1
['Drug - ChemicalSubstance - Pathway - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - MolecularActivity - ChemicalSubstance - Disease']",1
['Drug - Protein - GrossAnatomicalStructure - ChemicalSubstance - Disease'],1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - Protein - MolecularActivity - BiologicalProcess - OrganismTaxon - ChemicalSubstance - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Cell - Disease']",1
['Drug - GeneFamily - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Cell - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease']",1
"['Drug - Protein - Cell - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - Protein - BiologicalProcess - PhenotypicFeature - OrganismTaxon - Disease'],1
"['Drug - BiologicalProcess - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - Disease']",1
['Drug - ChemicalSubstance - MolecularActivity - BiologicalProcess - Disease'],1
