unique_values,counts
['Drug - Protein - BiologicalProcess - ChemicalSubstance - MolecularActivity - Disease'],1
"['Drug - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - GeneFamily - BiologicalProcess - Disease', 'Drug - Protein - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - Cell - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - MolecularActivity - Cell - BiologicalProcess - Disease'],1
"['Drug - OrganismTaxon - Disease', 'Drug - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - Protein - BiologicalProcess - CellularComponent - MolecularActivity - ChemicalSubstance - Disease'],1
"['Drug - Protein - Pathway - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease']",1
['Drug - GeneFamily - Pathway - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - Protein - Pathway - ChemicalSubstance - GrossAnatomicalStructure - Disease', 'Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Cell - BiologicalProcess - Disease']",1
"['Drug - ChemicalSubstance - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",1
['Drug - Protein - CellularComponent - BiologicalProcess - Cell - Disease'],1
['Drug - ChemicalSubstance - BiologicalProcess - Cell - PhenotypicFeature - Disease'],1
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - Cell - Disease']",1
"['Drug - Protein - MolecularActivity - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - GeneFamily - MolecularActivity - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",1
['Drug - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],1
['Drug - MacromolecularComplex - BiologicalProcess - Disease'],1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - MolecularActivity - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",1
['Drug - Protein - Pathway - BiologicalProcess - Cell - Disease'],1
"['Drug - Protein - PhenotypicFeature - Disease', 'Drug - Protein - Pathway - Disease']",1
['Drug - GeneFamily - GrossAnatomicalStructure - PhenotypicFeature - Disease'],1
"['Drug - ChemicalSubstance - Protein - Pathway - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease']",1
"['Drug - CellularComponent - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - BiologicalProcess - OrganismTaxon - Disease']",1
['Drug - Protein - Pathway - BiologicalProcess - OrganismTaxon - Disease'],1
['Drug - ChemicalSubstance - Protein - Pathway - BiologicalProcess - OrganismTaxon - Disease'],1
"['Drug - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Pathway - OrganismTaxon - Disease']",1
"['Drug - Protein - Pathway - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - GeneFamily - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",1
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - CellularComponent - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - CellularComponent - Protein - BiologicalProcess - Disease', 'Drug - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - CellularComponent - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - CellularComponent - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - CellularComponent - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - Disease']",1
"['Drug - Cell - Protein - BiologicalProcess - Disease', 'Drug - Cell - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - Pathway - ChemicalSubstance - PhenotypicFeature - Disease']",1
"['Drug - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - PhenotypicFeature - Disease']",1
['Drug - BiologicalProcess - GeneFamily - PhenotypicFeature - Disease'],1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Cell - PhenotypicFeature - Disease']",1
"['Drug - OrganismTaxon - Disease', 'Drug - Disease']",1
"['Drug - Protein - CellularComponent - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease']",1
['Drug - GeneFamily - ChemicalSubstance - GrossAnatomicalStructure - BiologicalProcess - Disease'],1
['Drug - Protein - BiologicalProcess - Pathway - PhenotypicFeature - Disease'],1
"['Drug - Pathway - BiologicalProcess - OrganismTaxon - Disease', 'Drug - GrossAnatomicalStructure - PhenotypicFeature - Disease']",1
"['Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - GeneFamily - MolecularActivity - OrganismTaxon - Disease', 'Drug - GeneFamily - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - Pathway - BiologicalProcess - GrossAnatomicalStructure - Disease']",1
['Drug - Protein - MolecularActivity - Pathway - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Cell - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",1
['Drug - GeneFamily - OrganismTaxon - Disease'],1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - MolecularActivity - PhenotypicFeature - Disease']",1
['Drug - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease'],1
['Drug - Protein - ChemicalSubstance - CellularComponent - BiologicalProcess - Disease'],1
"['Drug - Protein - MolecularActivity - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease', 'Drug - Protein - Cell - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - ChemicalSubstance - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease', 'Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease']",1
"['Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - GeneFamily - BiologicalProcess - Disease']",1
"['Drug - Protein - ChemicalSubstance - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - GeneFamily - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - CellularComponent - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - CellularComponent - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - CellularComponent - BiologicalProcess - GeneFamily - PhenotypicFeature - Disease', 'Drug - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - CellularComponent - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - MolecularActivity - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - MolecularActivity - BiologicalProcess - GeneFamily - PhenotypicFeature - Disease', 'Drug - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - GeneFamily - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease']",1
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Cell - Disease']",1
"['Drug - ChemicalSubstance - BiologicalProcess - Cell - Disease', 'Drug - Pathway - BiologicalProcess - Cell - Disease']",1
['Drug - Protein - MolecularActivity - ChemicalSubstance - GeneFamily - BiologicalProcess - Disease'],1
['Drug - BiologicalProcess - Cell - Disease'],1
"['Drug - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - OrganismTaxon - PhenotypicFeature - Disease']",1
['Drug - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease'],1
['Drug - GrossAnatomicalStructure - BiologicalProcess - Disease'],1
['Drug - Protein - BiologicalProcess - Cell - OrganismTaxon - Disease'],1
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease']",1
"['Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - Protein - PhenotypicFeature - Disease', 'Drug - Protein - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - ChemicalSubstance - MolecularActivity - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - Protein - MolecularActivity - CellularComponent - PhenotypicFeature - Disease'],1
"['Drug - GrossAnatomicalStructure - BiologicalProcess - ChemicalSubstance - Cell - Disease', 'Drug - ChemicalSubstance - Cell - Disease']",1
"['Drug - Protein - BiologicalProcess - GeneFamily - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Disease']",1
"['Drug - Protein - GrossAnatomicalStructure - PhenotypicFeature - BiologicalProcess - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease']",1
"['Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",1
"['Drug - Cell - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - PhenotypicFeature - Disease']",1
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - Protein - MolecularActivity - CellularComponent - BiologicalProcess - Disease'],1
"['Drug - BiologicalProcess - Disease', 'Drug - Pathway - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - Pathway - BiologicalProcess - OrganismTaxon - Disease'],1
"['Drug - BiologicalProcess - Disease', 'Drug - CellularComponent - BiologicalProcess - Disease']",1
"['Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - GrossAnatomicalStructure - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease']",1
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease']",1
"['Drug - Pathway - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease'],1
"['Drug - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease']",1
"['Drug - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",1
"['Drug - Protein - Disease', 'Drug - Protein - ChemicalSubstance - Disease']",1
"['Drug - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],1
['Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease'],1
"['Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - Pathway - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - OrganismTaxon - Disease']",1
"['Drug - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - OrganismTaxon - Disease']",1
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease']",1
"['Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",1
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Cell - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",1
['Drug - Protein - MolecularActivity - Pathway - PhenotypicFeature - Disease'],1
"['Drug - BiologicalProcess - ChemicalSubstance - GrossAnatomicalStructure - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease']",1
"['Drug - BiologicalProcess - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease']",1
"['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Disease']",1
['Drug - MolecularActivity - BiologicalProcess - ChemicalSubstance - Disease'],1
"['Drug - GrossAnatomicalStructure - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease']",1
['Drug - BiologicalProcess - ChemicalSubstance - CellularComponent - Disease'],1
"['Drug - Protein - MolecularActivity - BiologicalProcess - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease']",1
['Drug - BiologicalProcess - ChemicalSubstance - Disease'],1
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",1
"['Drug - Protein - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - GeneFamily - Disease', 'Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - MolecularActivity - GeneFamily - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - MolecularActivity - GeneFamily - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - BiologicalProcess - MolecularActivity - GeneFamily - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - MolecularActivity - GeneFamily - Disease', 'Drug - BiologicalProcess - Disease']",1
"['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",1
['Drug - BiologicalProcess - CellularComponent - Disease'],1
['Drug - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease'],1
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease']",1
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",1
['Drug - GeneFamily - ChemicalSubstance - Disease'],1
"['Drug - OrganismTaxon - Disease', 'Drug - GeneFamily - Disease']",1
